iter	Passed	Remaining
0	0	661
1	1	760
2	2	721
3	3	770
4	3	772
5	4	793
6	5	773
7	6	776
8	7	794
9	7	776
10	8	765
11	9	753
12	9	740
13	10	728
14	10	716
15	11	722
16	12	713
17	13	719
18	13	717
19	14	713
20	15	710
21	15	710
22	18	767
23	19	783
24	20	785
25	20	784
26	21	777
27	22	786
28	23	792
29	24	786
30	24	780
31	25	774
32	26	768
33	26	761
34	27	757
35	28	750
36	29	760
37	29	756
38	30	752
39	31	750
40	32	768
41	33	766
42	34	763
43	35	760
44	35	758
45	36	757
46	37	755
47	39	787
48	41	810
49	43	826
50	44	828
51	45	822
52	45	815
53	46	809
54	46	804
55	47	808
56	49	823
57	51	828
58	51	823
59	52	816
60	52	810
61	53	804
62	54	805
63	54	800
64	55	798
65	56	792
66	56	789
67	57	790
68	59	798
69	60	798
70	60	795
71	61	798
72	62	798
73	63	799
74	64	798
75	65	796
76	66	792
77	66	788
78	67	786
79	68	784
80	68	781
81	69	779
82	70	775
83	70	772
84	71	768
85	72	765
86	72	763
87	73	760
88	74	757
89	74	754
90	75	752
91	75	749
92	76	747
93	77	744
94	78	743
95	79	747
96	80	749
97	81	750
98	82	752
99	83	754
100	84	751
101	85	756
102	87	760
103	88	759
104	89	760
105	89	757
106	90	755
107	91	752
108	91	750
109	92	748
110	93	745
111	93	742
112	94	740
113	94	738
114	95	736
115	96	733
116	96	731
117	97	729
118	98	727
119	99	727
120	99	725
121	100	723
122	101	721
123	101	719
124	102	717
125	103	715
126	103	713
127	104	710
128	105	709
129	105	707
130	106	704
131	106	702
132	107	700
133	107	697
134	108	695
135	109	693
136	109	691
137	110	690
138	111	692
139	112	694
140	114	695
141	115	694
142	115	693
143	116	691
144	116	689
145	117	687
146	118	689
147	119	690
148	120	690
149	121	690
150	122	690
151	123	689
152	124	688
153	124	686
154	125	682
155	125	680
156	127	683
157	128	684
158	129	685
159	130	685
160	131	684
161	132	684
162	133	683
163	133	682
164	134	681
165	135	681
166	136	681
167	136	677
168	137	675
169	138	673
170	138	671
171	139	670
172	139	668
173	140	666
174	141	666
175	142	665
176	142	663
177	143	662
178	144	660
179	144	659
180	145	660
181	146	660
182	147	658
183	148	658
184	148	656
185	150	657
186	150	655
187	151	653
188	151	651
189	152	650
190	153	648
191	154	648
192	154	647
193	155	646
194	156	644
195	157	644
196	157	643
197	158	642
198	159	640
199	159	639
200	160	637
201	161	636
202	161	634
203	162	632
204	162	631
205	163	629
206	163	627
207	164	626
208	165	625
209	165	623
210	166	621
211	166	620
212	167	618
213	168	617
214	168	615
215	169	613
216	169	612
217	170	610
218	170	608
219	171	607
220	172	606
221	172	605
222	173	604
223	173	602
224	174	601
225	175	600
226	175	598
227	176	597
228	176	595
